CODE	J_GRDP
2611000000	69.47624723
2614000000	29.74025187
2617000000	52.38262841
2620000000	21.99989176
2623000000	23.50240233
2626000000	15.24521697
2629000000	20.39277357
2632000000	10.52647903
2635000000	21.6087085
2638000000	21.05107218
2641000000	18.49149229
2644000000	108.6097335
2647000000	32.45134238
2650000000	14.6127515
2653000000	30.26860553
2671000000	32.97927383
2711000000	68.34061284
2714000000	20.03101702
2717000000	19.06054607
2720000000	19.58126524
2723000000	24.71856406
2726000000	17.83203584
2729000000	20.26468531
2771000000	30.29289982
2911000000	39.46971156
2914000000	33.19374564
2915500000	14.45233837
2917000000	22.63842028
2920000000	31.88033282
3011000000	15.29331954
3014000000	20.05863653
3017000000	24.8520766
3020000000	38.81591526
3023000000	40.00219242
3111000000	18.50277403
3114000000	93.00049587
3117000000	57.14690662
3120000000	51.95032795
3171000000	83.23066417
4211000000	27.56450969
4213000000	27.7111954
4215000000	25.01411553
4217000000	34.63677798
4219000000	21.81209595
4221000000	21.30503661
4223000000	34.88430466
4272000000	35.57373229
4273000000	35.69610067
4275000000	32.82798893
4276000000	35.163295
4277000000	38.3028382
4278000000	38.32848555
4279000000	53.65412215
4280000000	40.64430964
4281000000	46.50248942
4282000000	37.34373223
4283000000	38.04951183
4313000000	36.19141679
4315000000	23.45099198
4311000000	43.01784067
4372000000	34.8560867
4373000000	26.61503935
4374000000	20.99269838
4375000000	94.58256412
4376000000	33.55140163
4377000000	85.24262757
4380000000	39.5723682
4374500000	30.57349197
4413000000	40.49863716
4415000000	33.72554633
4418000000	38.2500049
4420000000	96.60026469
4421000000	102.1655987
4423000000	31.52698162
4425000000	35.08156685
4427000000	69.32544555
4471000000	40.89064673
4476000000	29.49977966
4477000000	38.82359705
4479000000	36.89150359
4480000000	32.35398983
4481000000	40.63636477
4482500000	45.51230273
4511000000	23.50053526
4513000000	33.37275578
4514000000	25.90729846
4518000000	25.56201803
4519000000	19.91641834
4521000000	32.86471505
4571000000	50.74321291
4572000000	24.28167007
4573000000	23.31664565
4574000000	23.52904698
4575000000	26.03252195
4577000000	24.66359684
4579000000	30.72645991
4580000000	26.86952848
4611000000	18.17618271
4613000000	93.21605012
4615000000	21.77694899
4617000000	38.48528185
4623000000	61.88063029
4671000000	28.53349532
4672000000	32.236835
4673000000	20.41686027
4677000000	20.61349712
4678000000	22.02184426
4679000000	24.38879765
4680000000	25.23979955
4681000000	24.51704294
4682000000	28.7153308
4683000000	52.98037675
4684000000	36.55660987
4686000000	27.98937762
4687000000	43.15426682
4688000000	39.13075663
4689000000	21.26091264
4690000000	26.45155194
4691000000	26.93633522
4711000000	36.42542445
4713000000	39.59682556
4715000000	39.17760659
4717000000	30.20104822
4719000000	80.33346619
4721000000	28.13888447
4723000000	35.64078941
4725000000	21.51738337
4728000000	23.35385536
4729000000	29.85027174
4772000000	34.18817676
4773000000	24.39324569
4775000000	27.80898045
4776000000	23.15095644
4777000000	20.43439698
4782000000	23.72034745
4783000000	45.68118536
4784000000	40.95509491
4785000000	36.04639479
4790000000	22.41609415
4792000000	31.16597144
4793000000	46.18984331
4794000000	32.38801871
4812000000	36.86231885
4817000000	24.31480085
4822000000	22.88192492
4824000000	38.10214421
4825000000	29.65834258
4827000000	28.1849378
4831000000	35.72006978
4833000000	30.768735
4872000000	33.94531391
4873000000	57.16472958
4874000000	42.82579343
4882000000	39.30933644
4884000000	25.05378495
4885000000	44.68272569
4886000000	28.88009012
4887000000	25.29180402
4888000000	25.33108638
4889000000	24.40373726
5011000000	29.51710684
5013000000	31.48997765
