CODE	T_KTX
2614000000 	0
2620000000 	0
2623000000 	0
2626000000 	0
2629000000 	0
2632000000 	0
2635000000 	0
2638000000 	0
2641000000 	0
2644000000 	0
2647000000 	0
2650000000 	0
2653000000 	0
2671000000 	0
2714000000 	1
2717000000 	0
2720000000 	0
2723000000 	0
2726000000 	0
2729000000 	0
2771000000 	0
2911000000 	0
2914000000 	0
2915500000 	0
2917000000 	0
2920000000 	1
3011000000 	1
3014000000 	0
3017000000 	0
3020000000 	0
3023000000 	0
3111000000 	0
3114000000 	0
3117000000 	0
3120000000 	0
3171000000 	1
3600000000 	0
4211000000 	0
4213000000 	0
4215000000 	0
4311000000 	1
4313000000 	0
4315000000 	0
4413000000 	0
4415000000 	1
4420000000 	1
4421000000 	0
4423000000 	0
4427000000 	0
4511000000 	0
4513000000 	0
4514000000 	1
4518000000 	1
4611000000 	0
4613000000 	0
4615000000 	0
4617000000 	0
4623000000 	0
4711000000 	0
4713000000 	1
4715000000 	1
4717000000 	0
4719000000 	0
4721000000 	0
4723000000 	0
4729000000 	0
4785000000 	0
4817000000 	0
4822000000 	0
4824000000 	0
4825000000 	0
4827000000 	0
4831000000 	0
4833000000 	0
5011000000 	0
5013000000 	0
